caseid,barangay_code,barangay,province,municipality,age,gender,hh_size,income,consumption,gps_lat,gps_lon,duration,enumerator,submission_date
I000852,B049,Barangay 049,Agusan del Norte,Agusan Mun 1,35,female,5,10716.89,10079.01,9.121095,124.458,550,enum_08,2025-09-18
I000245,B016,Barangay 016,Iloilo,Iloilo Mun 7,47,female,3,10329.74,6951.39,9.895587,125.174293,1226,enum_12,2025-01-07
I007777,B427,Barangay 427,Agusan del Norte,Agusan Mun 5,35,female,6,15531.46,15064.88,6.952281,122.743511,739,enum_04,2025-01-18
I002976,B166,Barangay 166,Iloilo,Iloilo Mun 4,34,male,7,16902.86,14187.87,11.59262,122.873018,651,enum_19,2025-09-24
I007248,B399,Barangay 399,Cebu,Cebu Mun 9,40,male,6,14001.32,12351.81,7.612154,125.505771,977,enum_18,2025-06-30
I003770,B213,Barangay 213,Cebu,Cebu Mun 13,31,male,4,3791.35,3816.08,11.184927,122.2086,699,enum_19,2025-10-21
I007218,B397,Barangay 397,Agusan del Norte,Agusan Mun 2,39,female,4,11110.4,8876.71,8.172324,124.102093,462,enum_09,2025-07-02
I006232,B344,Barangay 344,Bukidnon,Bukidnon Mun 4,43,male,5,9894.63,9345.57,7.019647,122.01375,615,enum_09,2025-09-01
I001618,B088,Barangay 088,Iloilo,Iloilo Mun 12,36,male,5,14359.0,14710.39,9.248042,123.056611,626,enum_15,2025-08-23
I002889,B162,Barangay 162,Negros Occidental,Negros Mun 14,27,male,4,15587.35,9862.38,6.044906,122.292755,1450,enum_13,2025-10-04
I001190,B067,Barangay 067,Agusan del Norte,Agusan Mun 8,48,female,6,145.33,147.4,11.426251,124.626813,534,enum_05,2025-01-06
I008099,B445,Barangay 445,Agusan del Norte,Agusan Mun 10,25,female,5,9845.95,8615.99,10.366556,125.810295,695,enum_17,2025-01-21
I004448,B248,Barangay 248,Bukidnon,Bukidnon Mun 5,36,female,4,19088.76,16070.67,11.035245,123.780302,999,enum_08,2025-10-01
I007967,B438,Barangay 438,Negros Occidental,Negros Mun 13,26,female,6,9263.21,9182.78,9.356029,125.438428,812,enum_10,2025-05-18
I003566,B200,Barangay 200,Bukidnon,Bukidnon Mun 1,18,female,6,8468.95,7758.86,11.056713,123.516628,1264,enum_04,2025-09-14
I003691,B208,Barangay 208,Iloilo,Iloilo Mun 5,51,female,6,14610.21,10104.77,10.598601,124.961565,1011,enum_12,2025-01-27
I004098,B229,Barangay 229,Agusan del Norte,Agusan Mun 12,23,female,7,10286.19,8386.57,11.942856,124.163372,701,enum_19,2025-05-15
I000912,B052,Barangay 052,Iloilo,Iloilo Mun 12,32,female,7,17286.12,17340.81,10.430229,122.741732,705,enum_05,2025-07-15
I007752,B426,Barangay 426,Negros Occidental,Negros Mun 12,31,female,5,11151.3,8719.12,7.725298,122.24926,925,enum_11,2025-10-08
I000001,B001,Barangay 001,Agusan del Norte,Agusan Mun 7,53,female,5,6304.37,4748.39,11.18031,124.437506,847,enum_11,2025-02-10
I006435,B355,Barangay 355,Agusan del Norte,Agusan Mun 10,24,male,2,13832.74,9391.3,11.312386,122.805873,1109,enum_10,2025-05-12
I003407,B190,Barangay 190,Iloilo,Iloilo Mun 2,28,female,4,12512.74,10983.98,11.477535,122.565779,682,enum_19,2025-03-26
I007530,B413,Barangay 413,Leyte,Leyte Mun 6,25,male,4,12588.9,9279.66,7.06273,123.967942,890,enum_15,2025-05-23
I001566,B085,Barangay 085,Agusan del Norte,Agusan Mun 9,24,male,7,10996.58,11495.46,11.73417,123.559706,636,enum_01,2025-02-21
I004027,B225,Barangay 225,Cebu,Cebu Mun 7,47,female,4,18073.02,15010.12,9.479645,124.392651,715,enum_16,2025-07-31
I005218,B291,Barangay 291,Cebu,Cebu Mun 5,49,female,4,13922.61,8393.83,11.258126,122.691533,278,enum_09,2025-10-25
I004753,B266,Barangay 266,Bukidnon,Bukidnon Mun 11,53,male,1,16853.76,12755.8,10.695051,123.621185,1026,enum_13,2025-05-20
I006144,B338,Barangay 338,Bukidnon,Bukidnon Mun 7,49,male,4,11475.22,9102.99,11.178192,124.512614,1304,enum_04,2025-09-23
I008037,B442,Barangay 442,Iloilo,Iloilo Mun 2,42,female,3,9378.68,9037.72,10.080706,122.50989,882,enum_14,2025-10-10
I005707,B316,Barangay 316,Iloilo,Iloilo Mun 5,18,female,4,13813.04,14083.98,7.864999,123.255975,668,enum_17,2025-01-24
I003085,B173,Barangay 173,Leyte,Leyte Mun 7,18,male,6,12724.44,12127.64,7.049688,124.610561,1029,enum_20,2025-10-13
I000265,B017,Barangay 017,Leyte,Leyte Mun 4,32,male,7,10498.11,10732.8,10.039921,125.393416,696,enum_12,2025-06-29
I002413,B134,Barangay 134,Bukidnon,Bukidnon Mun 12,34,male,3,16290.01,13773.87,11.601239,124.008028,733,enum_03,2025-08-05
I001397,B077,Barangay 077,Leyte,Leyte Mun 10,29,female,1,13072.04,13747.08,11.097268,124.369911,890,enum_17,2025-03-27
I003101,B174,Barangay 174,Negros Occidental,Negros Mun 12,29,female,7,11274.07,11759.05,5.996691,123.756819,581,enum_19,2025-06-06
I008006,B440,Barangay 440,Bukidnon,Bukidnon Mun 3,31,male,6,12465.47,10262.72,9.11961,124.741184,1034,enum_09,2025-05-02
I004766,B266,Barangay 266,Bukidnon,Bukidnon Mun 11,47,male,8,12977.22,8694.68,6.141689,122.827089,1060,enum_20,2025-03-09
I004019,B225,Barangay 225,Cebu,Cebu Mun 7,35,female,3,13022.37,14049.06,7.668612,123.708929,1091,enum_09,2025-05-20
I008210,B450,Barangay 450,Negros Occidental,Negros Mun 3,53,male,7,19246.39,13313.51,10.985416,123.673433,596,enum_16,2025-04-10
I002368,B131,Barangay 131,Leyte,Leyte Mun 8,30,male,4,12304.02,7387.93,9.497657,125.974653,1008,enum_14,2025-05-30
I007845,B431,Barangay 431,Leyte,Leyte Mun 2,22,female,5,11482.12,7989.36,11.521798,124.789313,842,enum_08,2025-03-21
I001384,B076,Barangay 076,Iloilo,Iloilo Mun 6,34,male,2,10854.44,10505.59,7.367634,123.81692,1339,enum_18,2025-05-06
I000310,B019,Barangay 019,Agusan del Norte,Agusan Mun 6,39,female,7,11405.64,7120.89,9.735935,121.967796,629,enum_06,2025-08-10
I002318,B128,Barangay 128,Bukidnon,Bukidnon Mun 14,44,male,4,13620.06,14204.99,9.525263,122.303857,896,enum_11,2025-05-16
I005137,B287,Barangay 287,Leyte,Leyte Mun 19,31,female,6,13625.38,13374.08,7.869289,124.052459,943,enum_02,2025-09-26
I000455,B027,Barangay 027,Cebu,Cebu Mun 5,31,female,7,7712.45,5887.68,9.846227,125.253281,427,enum_18,2025-03-17
I005089,B285,Barangay 285,Cebu,Cebu Mun 10,19,male,1,16444.67,15548.08,10.62166,125.769329,380,enum_19,2025-05-06
I006517,B359,Barangay 359,Leyte,Leyte Mun 15,23,female,4,12671.21,9298.82,6.84048,123.608575,872,enum_04,2025-09-25
I004731,B265,Barangay 265,Agusan del Norte,Agusan Mun 5,34,female,4,11320.23,11290.74,10.716841,124.054555,1102,enum_01,2025-06-01
I000519,B031,Barangay 031,Agusan del Norte,Agusan Mun 3,18,male,2,7242.66,5058.81,10.233213,125.961636,1231,enum_20,2025-05-13
I003634,B204,Barangay 204,Negros Occidental,Negros Mun 8,51,female,4,13131.06,12920.68,6.071135,122.72767,600,enum_13,2025-09-13
I005884,B325,Barangay 325,Agusan del Norte,Agusan Mun 8,24,female,7,21269.51,16219.72,9.105526,122.813359,566,enum_06,2025-03-05
I006664,B367,Barangay 367,Agusan del Norte,Agusan Mun 5,30,male,6,13427.91,8501.91,8.252155,125.184766,996,enum_02,2025-09-15
I005279,B294,Barangay 294,Negros Occidental,Negros Mun 2,28,female,3,13542.67,11386.27,7.160594,123.597769,1179,enum_11,2025-09-22
I004762,B266,Barangay 266,Bukidnon,Bukidnon Mun 11,22,female,5,576.22,459.55,7.084386,124.718727,718,enum_16,2025-09-23
I005332,B297,Barangay 297,Cebu,Cebu Mun 13,40,female,5,13559.81,14079.78,10.624398,125.722834,829,enum_11,2025-03-11
I000333,B021,Barangay 021,Cebu,Cebu Mun 11,38,male,1,9168.19,5638.02,10.948905,125.54709,972,enum_01,2025-06-03
I001494,B082,Barangay 082,Iloilo,Iloilo Mun 2,46,female,5,11640.16,8277.1,10.729335,122.009817,709,enum_08,2025-07-23
I002580,B145,Barangay 145,Agusan del Norte,Agusan Mun 6,27,male,3,8500.38,7369.08,9.787849,122.669916,820,enum_15,2025-02-28
I001477,B081,Barangay 081,Cebu,Cebu Mun 12,28,male,6,12021.12,10759.22,7.373012,122.865322,716,enum_01,2025-03-16
I005346,B297,Barangay 297,Cebu,Cebu Mun 13,34,male,5,8700.31,7060.24,9.309987,123.685934,496,enum_13,2025-05-19
I000869,B050,Barangay 050,Bukidnon,Bukidnon Mun 8,28,female,1,14592.27,9017.89,10.423563,125.324779,1319,enum_18,2025-06-20
I003262,B182,Barangay 182,Bukidnon,Bukidnon Mun 7,32,female,3,9851.91,6315.22,8.429713,123.119029,551,enum_08,2025-04-08
I007264,B400,Barangay 400,Iloilo,Iloilo Mun 6,41,female,5,8349.57,6201.4,8.763247,122.561562,924,enum_19,2025-01-20
I004461,B249,Barangay 249,Cebu,Cebu Mun 13,32,female,4,1805.55,1783.17,9.3798,125.433751,973,enum_12,2025-10-24
I002775,B155,Barangay 155,Leyte,Leyte Mun 3,37,female,7,16933.73,13491.84,9.727983,123.759911,304,enum_17,2025-10-22
I001107,B064,Barangay 064,Iloilo,Iloilo Mun 7,39,female,5,9868.0,7086.43,7.39349,125.892775,694,enum_19,2025-05-16
I002234,B123,Barangay 123,Cebu,Cebu Mun 4,33,female,6,14787.89,9955.66,9.787213,122.063203,1054,enum_16,2025-06-15
I001449,B079,Barangay 079,Agusan del Norte,Agusan Mun 13,33,male,7,14168.97,10856.46,7.629451,123.220811,442,enum_10,2025-04-23
I002615,B147,Barangay 147,Cebu,Cebu Mun 3,34,male,4,8009.96,8361.37,9.299478,122.735189,750,enum_10,2025-06-08
I002077,B114,Barangay 114,Negros Occidental,Negros Mun 11,35,female,8,9891.33,9893.05,10.673581,122.700169,943,enum_11,2025-06-19
I006448,B356,Barangay 356,Bukidnon,Bukidnon Mun 7,38,male,5,12941.14,11952.59,10.934142,122.415911,766,enum_10,2025-08-22
I001661,B090,Barangay 090,Negros Occidental,Negros Mun 3,35,male,6,12424.42,12171.02,11.996113,124.312798,1259,enum_14,2025-03-03
I004075,B228,Barangay 228,Negros Occidental,Negros Mun 2,39,male,5,16585.8,17874.59,10.712948,124.136772,1128,enum_06,2025-10-23
I006379,B352,Barangay 352,Iloilo,Iloilo Mun 9,35,female,4,12792.94,12820.42,11.946183,122.323057,827,enum_09,2025-05-18
I003327,B186,Barangay 186,Negros Occidental,Negros Mun 5,50,female,6,8280.02,6326.77,11.412859,123.17037,748,enum_14,2025-01-28
I004514,B252,Barangay 252,Negros Occidental,Negros Mun 4,45,female,5,12894.77,10965.32,11.761213,122.433993,247,enum_07,2025-06-30
I004817,B269,Barangay 269,Leyte,Leyte Mun 10,18,female,6,14816.52,10029.39,6.238283,124.936354,1390,enum_06,2025-10-01
I006757,B373,Barangay 373,Agusan del Norte,Agusan Mun 9,30,male,2,10901.21,6584.28,8.504732,123.469455,687,enum_06,2025-03-03
I007701,B423,Barangay 423,Cebu,Cebu Mun 7,70,female,4,14174.38,13213.73,6.169587,122.493933,843,enum_17,2025-06-29
I002381,B132,Barangay 132,Negros Occidental,Negros Mun 12,18,female,8,19885.23,15002.84,7.587668,123.780309,1470,enum_16,2025-06-29
I007576,B416,Barangay 416,Bukidnon,Bukidnon Mun 13,18,female,3,8236.22,5892.99,7.771259,123.652408,729,enum_18,2025-04-08
I001496,B082,Barangay 082,Iloilo,Iloilo Mun 2,28,male,1,3830.78,2654.23,9.069099,123.037487,893,enum_13,2025-09-15
I000278,B017,Barangay 017,Leyte,Leyte Mun 4,44,female,8,13262.74,13520.86,10.577981,123.537357,581,enum_03,2025-08-07
I005336,B297,Barangay 297,Cebu,Cebu Mun 13,47,female,4,10680.68,7089.91,11.355439,123.471919,523,enum_20,2025-09-18
I007216,B397,Barangay 397,Agusan del Norte,Agusan Mun 2,45,female,3,9828.87,7277.25,11.207985,122.134706,684,enum_18,2025-03-07
I003515,B197,Barangay 197,Leyte,Leyte Mun 13,52,female,3,18176.84,17329.72,8.95522,124.656928,735,enum_12,2025-08-23
I002868,B161,Barangay 161,Leyte,Leyte Mun 15,18,male,6,10822.55,7417.45,10.265437,124.633144,733,enum_15,2025-05-10
I001548,B084,Barangay 084,Negros Occidental,Negros Mun 12,47,female,4,14473.75,14972.9,9.91969,125.429752,1007,enum_10,2025-06-11
I007755,B426,Barangay 426,Negros Occidental,Negros Mun 12,18,female,3,8784.8,8956.27,8.215031,125.384785,1519,enum_14,2025-08-14
I008039,B442,Barangay 442,Iloilo,Iloilo Mun 2,37,male,4,13759.34,9763.31,6.810619,122.31236,946,enum_10,2025-10-24
I005869,B324,Barangay 324,Negros Occidental,Negros Mun 1,24,male,5,7882.05,7295.44,11.08417,122.789671,1211,enum_03,2025-02-26
I002290,B126,Barangay 126,Negros Occidental,Negros Mun 10,47,female,6,12471.8,13183.67,9.926645,123.335736,1265,enum_04,2025-08-11
I003361,B188,Barangay 188,Bukidnon,Bukidnon Mun 5,33,female,1,15251.49,15108.3,7.521671,122.026291,676,enum_03,2025-04-20
I002720,B153,Barangay 153,Cebu,Cebu Mun 4,40,male,7,8092.33,7150.23,7.030519,124.930615,1058,enum_18,2025-08-15
I006481,B358,Barangay 358,Iloilo,Iloilo Mun 4,27,female,5,17012.56,15961.83,9.328484,124.401769,713,enum_07,2025-05-31
I005432,B302,Barangay 302,Bukidnon,Bukidnon Mun 1,29,female,6,9701.71,6699.76,11.752935,123.579183,741,enum_05,2025-06-28
I003825,B216,Barangay 216,Negros Occidental,Negros Mun 5,47,male,4,8530.07,7667.93,8.267412,122.442378,684,enum_18,2025-02-01
I001260,B070,Barangay 070,Iloilo,Iloilo Mun 8,43,male,5,18500.4,12972.65,7.123314,123.962076,936,enum_10,2025-08-22
I007261,B399,Barangay 399,Cebu,Cebu Mun 9,45,male,8,7345.31,7257.5,11.121636,123.688244,1464,enum_06,2025-07-30
I001676,B090,Barangay 090,Negros Occidental,Negros Mun 3,21,male,5,5525.49,4786.51,7.597707,122.060472,539,enum_18,2025-08-21
I000285,B017,Barangay 017,Leyte,Leyte Mun 4,18,female,5,12995.08,12561.31,7.006718,122.088457,900,enum_13,2025-04-24
